Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,52.75,53.5,49.5,49.8,44.81,2350800
2019-03-21,49.99,50.0,48.2,48.98,44.07,1764700
2019-03-22,48.8,49.95,48.16,48.6,43.73,844700
2019-03-25,48.6,49.4,48.0,49.15,44.22,440900
2019-03-26,49.0,49.75,48.18,48.85,43.95,504700
2019-03-27,49.0,50.78,49.0,50.1,45.08,1788600
2019-03-28,50.9,51.0,49.92,50.85,45.75,585400
2019-03-29,49.52,52.48,49.18,51.63,46.45,1769000
2019-04-01,52.3,54.39,51.25,53.5,48.13,19663400
2019-04-02,55.12,57.39,54.3,56.25,50.61,17414200
2019-04-03,57.08,57.2,55.51,56.88,51.18,15066200
2019-04-04,57.2,60.52,57.1,59.71,53.72,13309200
2019-04-05,58.39,58.98,56.27,57.24,51.5,17000800
2019-04-08,56.5,58.39,56.27,57.15,51.42,10764600
2019-04-09,56.8,57.2,56.08,56.27,50.63,9179900
2019-04-10,55.99,56.41,55.1,55.71,50.12,9081900
2019-04-11,55.7,56.21,54.83,54.89,49.38,7346100
2019-04-12,55.93,58.33,55.93,58.3,52.45,9281700
2019-04-15,58.57,58.85,57.29,57.78,51.98,5727300
2019-04-16,58.71,58.99,57.84,58.5,52.63,6681600
2019-04-17,58.95,59.05,58.2,58.32,52.47,6420700
2019-04-18,58.36,58.61,57.55,57.77,51.98,5178800
2019-04-22,57.48,58.41,57.26,57.89,52.08,4401700
2019-04-23,57.29,57.84,57.0,57.64,51.86,5687200
2019-04-24,57.49,57.89,55.87,55.98,50.37,5431300
2019-04-25,55.76,55.98,54.82,55.33,49.78,6260500
2019-04-26,55.3,55.6,54.95,55.25,49.71,4009800
2019-04-29,55.05,55.69,54.8,55.5,49.93,5935200
2019-04-30,55.76,57.21,55.6,56.73,51.04,6454100
2019-05-01,56.82,57.48,55.88,56.13,50.5,7644400
2019-05-02,55.54,56.49,52.03,52.7,47.41,13932700
2019-05-03,53.2,53.35,51.72,53.3,47.95,7401700
2019-05-06,52.15,54.03,51.7,53.46,48.1,6089500
2019-05-07,52.86,53.33,52.65,52.95,47.64,7330800
2019-05-08,53.33,53.4,52.31,52.48,47.22,5390700
2019-05-09,52.26,53.14,51.55,52.93,47.62,4579700
2019-05-10,52.94,53.71,52.49,53.07,47.75,4758100
2019-05-13,52.28,52.55,50.76,50.95,45.84,4213100
2019-05-14,51.33,53.0,50.84,52.48,47.22,4204500
2019-05-15,51.98,53.33,51.67,52.95,47.64,2928700
2019-05-16,53.29,53.55,52.73,52.98,47.67,3689700
2019-05-17,52.34,52.52,50.66,50.8,45.7,4440800
2019-05-20,50.4,50.54,49.92,50.08,45.06,5168400
2019-05-21,50.28,51.19,50.02,50.63,45.55,4968400
2019-05-22,50.46,50.61,49.97,50.21,45.17,3019100
2019-05-23,49.5,49.86,48.21,48.71,43.82,4919200
2019-05-24,49.39,49.58,48.44,49.2,44.27,2918400
2019-05-28,49.37,49.43,48.1,48.56,43.69,6613000
2019-05-29,48.2,49.43,48.01,48.71,43.82,3525900
2019-05-30,48.12,48.59,48.02,48.47,44.24,3777600
