Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,54.26,54.42,53.85,53.88,43.94,442800
2010-01-04,54.66,55.04,54.17,54.52,44.46,961000
2010-01-05,54.35,54.82,53.94,54.26,44.25,1136400
2010-01-06,54.14,54.47,53.8,54.03,44.06,1670700
2010-01-07,53.75,54.9,53.75,54.67,44.58,973600
2010-01-08,54.47,56.23,54.12,56.22,45.85,1075200
2010-01-11,57.1,58.03,56.57,57.82,47.15,1682100
2010-01-12,57.45,58.09,57.38,57.94,47.25,1750700
2010-01-13,58.09,58.59,57.09,58.25,47.5,1371800
2010-01-14,58.03,58.94,57.56,58.79,47.94,1003100
2010-01-15,58.66,59.15,57.94,58.56,47.76,1712000
2010-01-19,61.74,62.85,60.58,61.42,50.09,3741400
2010-01-20,61.13,61.18,59.4,60.61,49.43,2339800
2010-01-21,60.4,61.43,58.76,59.52,48.54,2014800
2010-01-22,59.44,59.44,57.59,57.62,46.99,1462900
2010-01-25,58.52,59.04,56.37,57.37,46.79,2042900
2010-01-26,56.9,57.3,56.07,56.6,46.16,2343600
2010-01-27,56.49,57.74,56.15,57.4,46.81,3339500
2010-01-28,57.71,57.8,55.68,56.32,45.93,1439000
2010-01-29,56.83,57.86,55.67,55.91,45.6,2134700
2010-02-01,56.2,57.4,56.06,57.14,46.6,1622400
2010-02-02,57.55,58.21,57.2,58.14,47.41,1919400
2010-02-03,57.8,58.62,57.13,57.3,46.73,1800100
2010-02-04,56.52,56.74,54.93,54.93,44.8,1969200
2010-02-05,54.96,55.32,53.5,54.97,44.83,2101500
2010-02-08,54.95,55.17,53.95,54.54,44.48,1728200
2010-02-09,55.33,56.4,54.88,55.75,45.47,1651000
2010-02-10,55.7,55.98,54.86,55.55,45.3,1032700
2010-02-11,55.59,56.79,55.15,56.76,46.29,1370600
2010-02-12,55.91,57.65,55.21,56.08,45.73,2551600
2010-02-16,57.24,57.3,56.41,57.25,46.9,1561300
2010-02-17,57.75,58.33,57.26,58.19,47.67,1501600
2010-02-18,58.04,58.87,57.97,58.76,48.13,1522700
2010-02-19,58.59,59.29,58.2,59.0,48.33,1109200
2010-02-22,59.18,59.24,58.63,58.92,48.27,1249000
2010-02-23,58.72,59.06,57.76,58.31,47.77,1451100
2010-02-24,58.58,58.91,58.13,58.87,48.22,2075300
2010-02-25,57.55,59.06,57.46,58.9,48.25,1553900
2010-02-26,59.31,60.45,59.17,60.31,49.4,2204800
2010-03-01,60.17,62.58,60.15,61.71,50.55,3111800
2010-03-02,62.02,62.41,61.87,62.07,50.85,2012700
2010-03-03,63.2,63.66,62.3,62.41,51.12,2750600
2010-03-04,62.44,62.76,61.52,62.07,50.85,1897700
2010-03-05,62.86,63.23,62.51,62.93,51.55,1130900
2010-03-08,62.91,63.31,62.54,63.02,51.62,1402400
2010-03-09,62.89,63.6,62.68,63.33,51.88,1470900
2010-03-10,63.46,63.96,63.18,63.82,52.28,1154500
2010-03-11,63.84,63.85,63.03,63.69,52.17,939700
2010-03-12,63.99,64.2,63.31,63.61,52.11,860400
2010-03-15,63.65,63.89,63.27,63.84,52.3,762400
2010-03-16,63.96,64.67,63.89,64.44,52.79,1008600
2010-03-17,64.74,65.74,64.46,65.37,53.55,1476200
2010-03-18,65.26,65.91,65.11,65.6,53.74,1214900
2010-03-19,65.11,66.41,64.89,65.11,53.34,1714200
2010-03-22,64.53,65.62,64.21,65.55,53.7,942900
2010-03-23,65.78,66.71,65.16,66.57,54.53,1101400
2010-03-24,66.49,66.55,65.26,65.34,53.52,1521500
