Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,57.99,58.02,57.31,57.37,41.18,2357500
2010-01-04,58.18,58.82,57.98,58.18,41.77,3897200
2010-01-05,58.25,59.0,58.12,58.28,41.84,5966300
2010-01-06,58.21,58.27,57.81,57.85,41.53,5770200
2010-01-07,57.96,57.96,57.19,57.41,41.21,5747000
2010-01-08,59.77,61.13,59.52,60.17,43.19,13779300
2010-01-11,60.55,63.38,60.5,62.82,45.1,13744900
2010-01-12,62.52,62.94,62.1,62.4,44.79,5662500
2010-01-13,63.13,63.22,61.93,62.07,44.56,5822600
2010-01-14,61.86,62.36,61.83,62.2,44.65,4698000
2010-01-15,62.2,62.4,61.72,61.93,44.46,6066300
2010-01-19,62.01,62.78,62.0,62.25,44.69,3525000
2010-01-20,62.16,62.21,60.67,61.16,43.9,5261100
2010-01-21,61.07,61.32,59.53,59.7,42.86,6344200
2010-01-22,59.49,59.55,58.6,58.75,42.17,5623300
2010-01-25,59.11,59.52,58.26,58.75,42.17,3520500
2010-01-26,58.49,59.2,57.89,58.64,42.1,3285800
2010-01-27,58.65,59.5,58.12,59.34,42.6,5247300
2010-01-28,59.51,59.65,58.06,58.96,42.32,5711600
2010-01-29,59.13,59.79,57.71,57.77,41.47,6565200
2010-02-01,57.95,58.53,57.45,58.39,41.92,6331100
2010-02-02,59.74,59.95,58.3,58.62,42.08,7843800
2010-02-03,58.73,59.3,58.25,58.87,42.26,4745400
2010-02-04,58.43,58.63,57.24,57.29,41.13,7259900
2010-02-05,57.18,57.73,56.23,57.2,41.06,5799400
2010-02-08,57.17,57.4,56.49,56.62,40.65,3485100
2010-02-09,57.35,58.18,56.9,57.41,41.21,5253000
2010-02-10,57.45,57.45,56.57,57.07,40.97,4704000
2010-02-11,56.81,57.15,56.36,56.72,41.06,6647300
2010-02-12,56.26,56.42,55.77,56.15,40.64,6148400
2010-02-16,56.94,57.49,56.47,57.33,41.5,5065200
2010-02-17,57.51,57.6,57.14,57.51,41.63,4489000
2010-02-18,57.31,57.61,56.93,57.17,41.38,4332500
2010-02-19,56.95,58.16,56.78,57.81,41.84,4886100
2010-02-22,58.07,58.22,57.67,57.95,41.95,2916300
2010-02-23,57.95,58.52,57.5,58.4,42.27,5622400
